diag;niv;libell
M0147;2;Arthrite au cours de la rubéole (B06.8) - Articulations de la cheville et du pied                                                                                                                                                                                                                           
M0148;2;Arthrite au cours de la rubéole (B06.8) - Autres articulations                                                                                                                                                                                                                                              
M0149;2;Arthrite au cours de la rubéole (B06.8) - Siège non précisé                                                                                                                                                                                                                                                 
M015;2;Arthrite au cours d'autres maladies virales classées ailleurs                                                                                                                                                                                                                                               
M0150;2;Arthrite au cours d'autres maladies virales classées ailleurs - Sièges multiples                                                                                                                                                                                                                            
M0151;2;Arthrite au cours d'autres maladies virales classées ailleurs - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                
M0152;2;Arthrite au cours d'autres maladies virales classées ailleurs - Articulation du coude                                                                                                                                                                                                                       
M0153;2;Arthrite au cours d'autres maladies virales classées ailleurs - Articulation du poignet                                                                                                                                                                                                                     
M0154;2;Arthrite au cours d'autres maladies virales classées ailleurs - Articulations de la main                                                                                                                                                                                                                    
M0155;2;Arthrite au cours d'autres maladies virales classées ailleurs - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                 
M0156;2;Arthrite au cours d'autres maladies virales classées ailleurs - Articulation du genou                                                                                                                                                                                                                       
M0157;2;Arthrite au cours d'autres maladies virales classées ailleurs - Articulations de la cheville et du pied                                                                                                                                                                                                     
M0158;2;Arthrite au cours d'autres maladies virales classées ailleurs - Autres articulations                                                                                                                                                                                                                        
M0159;2;Arthrite au cours d'autres maladies virales classées ailleurs - Siège non précisé                                                                                                                                                                                                                           
M016;4;Arthrite au cours de mycoses (B35-B49)                                                                                                                                                                                                                                                                      
M0160;4;Arthrite au cours de mycoses (B35-B49) - Sièges multiples                                                                                                                                                                                                                                                   
M0161;4;Arthrite au cours de mycoses (B35-B49) - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                       
M0162;4;Arthrite au cours de mycoses (B35-B49) - Articulation du coude                                                                                                                                                                                                                                              
M0163;4;Arthrite au cours de mycoses (B35-B49) - Articulation du poignet                                                                                                                                                                                                                                            
M0164;4;Arthrite au cours de mycoses (B35-B49) - Articulations de la main                                                                                                                                                                                                                                           
M0165;4;Arthrite au cours de mycoses (B35-B49) - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                        
M0166;4;Arthrite au cours de mycoses (B35-B49) - Articulation du genou                                                                                                                                                                                                                                              
M0167;4;Arthrite au cours de mycoses (B35-B49) - Articulations de la cheville et du pied                                                                                                                                                                                                                            
M0168;4;Arthrite au cours de mycoses (B35-B49) - Autres articulations                                                                                                                                                                                                                                               
M0169;4;Arthrite au cours de mycoses (B35-B49) - Siège non précisé                                                                                                                                                                                                                                                  
M018;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs                                                                                                                                                                                                                          
M0180;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Sièges multiples                                                                                                                                                                                                       
M0181;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                           
M0182;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Articulation du coude                                                                                                                                                                                                  
M0183;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Articulation du poignet                                                                                                                                                                                                
M0184;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Articulations de la main                                                                                                                                                                                               
M0185;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Articulations de la hanche et sacro-iliaque                                                                                                                                                                            
M0186;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Articulation du genou                                                                                                                                                                                                  
M0187;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Articulations de la cheville et du pied                                                                                                                                                                                
M0188;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Autres articulations                                                                                                                                                                                                   
M0189;2;Arthrite au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Siège non précisé                                                                                                                                                                                                      
M020;2;Arthropathie après dérivation intestinale                                                                                                                                                                                                                                                                   
M0200;2;Arthropathie après dérivation intestinale - Sièges multiples                                                                                                                                                                                                                                                
M0201;2;Arthropathie après dérivation intestinale - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                    
M0202;2;Arthropathie après dérivation intestinale - Articulation du coude                                                                                                                                                                                                                                           
M0203;2;Arthropathie après dérivation intestinale - Articulation du poignet                                                                                                                                                                                                                                         
M0204;2;Arthropathie après dérivation intestinale - Articulations de la main                                                                                                                                                                                                                                        
M0205;2;Arthropathie après dérivation intestinale - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                     
M0206;2;Arthropathie après dérivation intestinale - Articulation du genou                                                                                                                                                                                                                                           
M0207;2;Arthropathie après dérivation intestinale - Articulations de la cheville et du pied                                                                                                                                                                                                                         
M0208;2;Arthropathie après dérivation intestinale - Autres articulations                                                                                                                                                                                                                                            
M0209;2;Arthropathie après dérivation intestinale - Siège non précisé                                                                                                                                                                                                                                               
M021;2;Arthropathie post-dysentérique                                                                                                                                                                                                                                                                              
M0210;2;Arthropathie post-dysentérique - Sièges multiples                                                                                                                                                                                                                                                           
M0211;2;Arthropathie post-dysentérique - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                               
M0212;2;Arthropathie post-dysentérique - Articulation du coude                                                                                                                                                                                                                                                      
M0213;2;Arthropathie post-dysentérique - Articulation du poignet                                                                                                                                                                                                                                                    
M0214;2;Arthropathie post-dysentérique - Articulations de la main                                                                                                                                                                                                                                                   
M0215;2;Arthropathie post-dysentérique - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                                
M0216;2;Arthropathie post-dysentérique - Articulation du genou                                                                                                                                                                                                                                                      
M0217;2;Arthropathie post-dysentérique - Articulations de la cheville et du pied                                                                                                                                                                                                                                    
M0218;2;Arthropathie post-dysentérique - Autres articulations                                                                                                                                                                                                                                                       
M0219;2;Arthropathie post-dysentérique - Siège non précisé                                                                                                                                                                                                                                                          
M022;2;Arthropathie post-vaccinale                                                                                                                                                                                                                                                                                 
M0220;2;Arthropathie post-vaccinale - Sièges multiples                                                                                                                                                                                                                                                              
M0221;2;Arthropathie post-vaccinale - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                                  
M0222;2;Arthropathie post-vaccinale - Articulation du coude                                                                                                                                                                                                                                                         
M0223;2;Arthropathie post-vaccinale - Articulation du poignet                                                                                                                                                                                                                                                       
M0224;2;Arthropathie post-vaccinale - Articulations de la main                                                                                                                                                                                                                                                      
M0225;2;Arthropathie post-vaccinale - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                                   
M0226;2;Arthropathie post-vaccinale - Articulation du genou                                                                                                                                                                                                                                                         
M0227;2;Arthropathie post-vaccinale - Articulations de la cheville et du pied                                                                                                                                                                                                                                       
M0228;2;Arthropathie post-vaccinale - Autres articulations                                                                                                                                                                                                                                                          
M0229;2;Arthropathie post-vaccinale - Siège non précisé                                                                                                                                                                                                                                                             
M023;2;Syndrome oculo-urétro-synovial [Fiessinger-Leroy-Reiter]                                                                                                                                                                                                                                                    
M0230;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Sièges multiples                                                                                                                                                                                                                                 
M0231;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                     
M0232;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Articulation du coude                                                                                                                                                                                                                            
M0233;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Articulation du poignet                                                                                                                                                                                                                          
M0234;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Articulations de la main                                                                                                                                                                                                                         
M0235;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                      
M0236;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Articulation du genou                                                                                                                                                                                                                            
M0237;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Articulations de la cheville et du pied                                                                                                                                                                                                          
M0238;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Autres articulations                                                                                                                                                                                                                             
M0239;2;Syndrome oculo-urétro-synovial (Fiessinger-Leroy-Reiter) - Siège non précisé                                                                                                                                                                                                                                
M028;2;Autres arthropathies réactionnelles                                                                                                                                                                                                                                                                         
M0280;2;Autres arthropathies réactionnelles - Sièges multiples                                                                                                                                                                                                                                                      
M0281;2;Autres arthropathies réactionnelles - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                          
M0282;2;Autres arthropathies réactionnelles - Articulation du coude                                                                                                                                                                                                                                                 
M0283;2;Autres arthropathies réactionnelles - Articulation du poignet                                                                                                                                                                                                                                               
M0284;2;Autres arthropathies réactionnelles - Articulations de la main                                                                                                                                                                                                                                              
M0285;2;Autres arthropathies réactionnelles - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                           
M0286;2;Autres arthropathies réactionnelles - Articulation du genou                                                                                                                                                                                                                                                 
M0287;2;Autres arthropathies réactionnelles - Articulations de la cheville et du pied                                                                                                                                                                                                                               
M0288;2;Autres arthropathies réactionnelles - Autres articulations                                                                                                                                                                                                                                                  
M0289;2;Autres arthropathies réactionnelles - Siège non précisé                                                                                                                                                                                                                                                     
M029;2;Arthropathie réactionnelle, sans précision                                                                                                                                                                                                                                                                  
M0290;2;Arthropathie réactionnelle, sans précision - Sièges multiples                                                                                                                                                                                                                                               
M0291;2;Arthropathie réactionnelle, sans précision - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                   
M0292;2;Arthropathie réactionnelle, sans précision - Articulation du coude                                                                                                                                                                                                                                          
M0293;2;Arthropathie réactionnelle, sans précision - Articulation du poignet                                                                                                                                                                                                                                        
M0294;2;Arthropathie réactionnelle, sans précision - Articulations de la main                                                                                                                                                                                                                                       
M0295;2;Arthropathie réactionnelle, sans précision - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                    
M0296;2;Arthropathie réactionnelle, sans précision - Articulation du genou                                                                                                                                                                                                                                          
M0297;2;Arthropathie réactionnelle, sans précision - Articulations de la cheville et du pied                                                                                                                                                                                                                        
M0298;2;Arthropathie réactionnelle, sans précision - Autres articulations                                                                                                                                                                                                                                           
M0299;2;Arthropathie réactionnelle, sans précision - Siège non précisé                                                                                                                                                                                                                                              
M030;2;Arthrite post-méningococcique (A39.8)                                                                                                                                                                                                                                                                       
M0300;2;Arthrite post-méningococcique (A39.8) - Sièges multiples                                                                                                                                                                                                                                                    
M0301;2;Arthrite post-méningococcique (A39.8) - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                        
M0302;2;Arthrite post-méningococcique (A39.8) - Articulation du coude                                                                                                                                                                                                                                               
M0303;2;Arthrite post-méningococcique (A39.8) - Articulation du poignet                                                                                                                                                                                                                                             
M0304;2;Arthrite post-méningococcique (A39.8) - Articulations de la main                                                                                                                                                                                                                                            
M0305;2;Arthrite post-méningococcique (A39.8) - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                         
M0306;2;Arthrite post-méningococcique (A39.8) - Articulation du genou                                                                                                                                                                                                                                               
M0307;2;Arthrite post-méningococcique (A39.8) - Articulations de la cheville et du pied                                                                                                                                                                                                                             
M0308;2;Arthrite post-méningococcique (A39.8) - Autres articulations                                                                                                                                                                                                                                                
M0309;2;Arthrite post-méningococcique (A39.8) - Siège non précisé                                                                                                                                                                                                                                                   
M031;2;Arthropathie syphilitique post-infectieuse                                                                                                                                                                                                                                                                  
M0310;2;Arthropathie syphilitique post-infectieuse - Sièges multiples                                                                                                                                                                                                                                               
M0311;2;Arthropathie syphilitique post-infectieuse - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                                                   
M0312;2;Arthropathie syphilitique post-infectieuse - Articulation du coude                                                                                                                                                                                                                                          
M0313;2;Arthropathie syphilitique post-infectieuse - Articulation du poignet                                                                                                                                                                                                                                        
M0314;2;Arthropathie syphilitique post-infectieuse - Articulations de la main                                                                                                                                                                                                                                       
M0315;2;Arthropathie syphilitique post-infectieuse - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                                                    
M0316;2;Arthropathie syphilitique post-infectieuse - Articulation du genou                                                                                                                                                                                                                                          
M0317;2;Arthropathie syphilitique post-infectieuse - Articulations de la cheville et du pied                                                                                                                                                                                                                        
M0318;2;Arthropathie syphilitique post-infectieuse - Autres articulations                                                                                                                                                                                                                                           
M0319;2;Arthropathie syphilitique post-infectieuse - Siège non précisé                                                                                                                                                                                                                                              
M032;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs                                                                                                                                                                                                                               
M0320;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Sièges multiples                                                                                                                                                                                                            
M0321;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                
M0322;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Articulation du coude                                                                                                                                                                                                       
M0323;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Articulation du poignet                                                                                                                                                                                                     
M0324;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Articulations de la main                                                                                                                                                                                                    
M0325;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                 
M0326;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Articulation du genou                                                                                                                                                                                                       
M0327;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Articulations de la cheville et du pied                                                                                                                                                                                     
M0328;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Autres articulations                                                                                                                                                                                                        
M0329;2;Autres arthropathies post-infectieuses au cours de maladies classées ailleurs - Siège non précisé                                                                                                                                                                                                           
M036;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs                                                                                                                                                                                                                                     
M0360;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Sièges multiples                                                                                                                                                                                                                  
M0361;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire                                                                                                                                                      
M0362;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Articulation du coude                                                                                                                                                                                                             
M0363;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Articulation du poignet                                                                                                                                                                                                           
M0364;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Articulations de la main                                                                                                                                                                                                          
M0365;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Articulations de la hanche et sacro-iliaque                                                                                                                                                                                       
M0366;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Articulation du genou                                                                                                                                                                                                             
M0367;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Articulations de la cheville et du pied                                                                                                                                                                                           
M0368;2;Arthropathie réactionnelle au cours d'autres maladies classées ailleurs - Autres articulations                                                                                                                                                                                                              
